Query	Document	Answer	Contradictory_Answer	Context_Relevance_Label	Answer_Faithfulness_Label	Answer_Relevance_Label
who sang you got a friend in me toy story	"You've Got a Friend in Me is a song by Randy Newman. Used as the theme song for the 1995 Disney/Pixar animated film ""Toy Story"", it has since become a major musical component for its sequels, ""Toy Story 2"" (1999), ""Toy Story 3"" (2010) and ""Toy Story 4"" (2019) as well as a musical leitmotif throughout the whole ""Toy Story"" franchise. The song was nominated for both the Academy Award for Best Original Song and the Golden Globe Award for Best Original Song, but lost both to ""Colors of the Wind"" from Disney's ""Pocahontas""."	Randy Newman	Pocahontas	[[Yes]]	[[Yes]]	[[Yes]]
who was involved in the battle of trafalgar	"The Battle of Trafalgar (21 October 1805) was a naval engagement fought by the British Royal Navy against the combined fleets of the French and Spanish Navies, during the War of the Third Coalition (August–December 1805) of the Napoleonic Wars (1803–1815)."	British Royal Navy	German Navy	[[Yes]]	[[Yes]]	[[Yes]]
when did the chicago bulls win their first championship	"The Bulls saw their greatest success during the 1990s when they were responsible for popularizing the NBA worldwide. They are known for having one of the NBA's greatest dynasties, winning six NBA championships between 1991 and 1998 with two three-peats. All six of their championship teams were led by Hall of Famers Michael Jordan, Scottie Pippen and coach Phil Jackson. The Bulls are the only NBA franchise to win multiple championships while never losing an NBA Finals series in their history."	1991	1891	[[Yes]]	[[Yes]]	[[Yes]]
a person who drive ship is called what	"A helmsman or helm is a person who steers a ship, sailboat, submarine, other type of maritime vessel, or spacecraft. The rank and seniority of the helmsman may vary: on small vessels such as fishing vessels and yachts, the functions of the helmsman are combined with that of the skipper; on larger vessels, there is a separate officer of the watch who is responsible for the safe navigation of the ship and gives orders to the helmsman, who physically steers the ship in accordance with those orders."	helmsman	Cabin boy	[[Yes]]	[[Yes]]	[[Yes]]
what are the 5 liberties of the first amendment	"The First Amendment (Amendment I) to the United States Constitution prevents the government from making laws which respect an establishment of religion, prohibit the free exercise of religion, or abridge the freedom of speech, the freedom of the press, the right to peaceably assemble, or the right to petition the government for redress of grievances. It was adopted on December 15, 1791, as one of the ten amendments that constitute the Bill of Rights."	the right to bear arms	The right to remain silent	[[Yes]]	[[No]]	[[No]]
what band plays at the end of 10 things i hate about you	"The film received generally positive feedback from critics. Geoff Andrew from ""Time Out"" praised the film's leads, stating, ""Stiles grows into her character, and Ledger is effortlessly charming"". Brad Laidman from Film Threat said the film was ""pure of heart and perfectly executed"". Ron Wells, another critic from Film Threat, expressed, ""Of all the teen films released this year, this one is, by far, the best."" Roger Ebert gave the film two and a half stars out of four, saying that he ""liked the movie's spirit, the actors and some of the scenes. The music, much of it by the band Letters to Cleo, is subtle and inventive while still cheerful."" ""Entertainment Weekly"" listed the film at #49 on its list of Best High School Movies."	Ron Wells	Ron Wells	[[Yes]]	[[No]]	[[No]]
all dogs go to heaven what kind of dog is charlie	"All Dogs Go to Heaven is a 1989 animated musical fantasy comedy-drama film directed and produced by Don Bluth, and released by United Artists and Goldcrest Films. It tells the story of Charlie B. Barkin (voiced by Burt Reynolds), a German Shepherd that is murdered by his former friend, Carface (voiced by Vic Tayback, in his penultimate film role), but withdraws from his place in Heaven to return to Earth, where his best friend, Itchy Itchiford (voiced by Dom DeLuise) still lives, and they team up with a young orphan girl named Anne-Marie (voiced by Judith Barsi in her last film role; movie released posthumously), who teaches them an important lesson about kindness, friendship and love."	Beagle	Beagle	[[Yes]]	[[No]]	[[No]]
who identified the tube connecting the ear and throat	"Nineteen cities in nine countries (counting England, Wales, and Scotland separately) have hosted the event. Australia has hosted the Commonwealth Games five times (1938, 1962, 1982, 2006 and 2018); this is more times than any other nation. Two cities have hosted Commonwealth Games more than once: Auckland (1950, 1990) and Edinburgh (1970, 1986)."	Francis Bacon		[[No]]	[[No]]	[[No]]
what was the highest unemployment rate in us history	"The air force base was established in 1935. It was named after Major Hezekiah McClellan on 1 December 1939, a pioneer in arctic aeronautical tests. Born in 1894, he died on 25 May 1936 when his Consolidated P-30 which he was flight testing, crashed near Centerville, Ohio."	1894		[[No]]	[[No]]	[[No]]
who directed the godfather	"Star Wars: The Last Jedi (also known as Star Wars: Episode VIII – The Last Jedi) is a 2017 American epic space-opera film written and directed by Rian Johnson. It is the second installment of the ""Star Wars"" sequel trilogy, following "" (2015). It was produced by Lucasfilm and distributed by Walt Disney Studios Motion Pictures. The film's ensemble cast includes Mark Hamill, Carrie Fisher, Adam Driver, Daisy Ridley, John Boyega, Oscar Isaac, Andy Serkis, Lupita Nyong'o, Domhnall Gleeson, Anthony Daniels, Gwendoline Christie, and Frank Oz in returning roles, with Kelly Marie Tran, Laura Dern and Benicio del Toro joining the cast. It features the first posthumous film performance by Fisher, who died in December 2016, and the film is dedicated to her memory. The plot follows Rey as she receives Jedi training from Luke Skywalker, in hopes of turning the tide for the Resistance in the fight against Kylo Ren and the First Order, while General Leia Organa, Finn, and Poe Dameron attempt to escape a First Order attack on the dwindling Resistance fleet. It is the eighth film in the nine-part “Skywalker saga”."	LisaRaye McCoy		[[No]]	[[No]]	[[No]]